Date,Discharge (cfs)
11/23/2013,148.85625
11/24/2013,252.375
11/25/2013,273.6979167
11/26/2013,547.2604167
11/27/2013,369.7916667
11/28/2013,310.6979167
11/29/2013,156.1979167
11/30/2013,73.90104167
12/1/2013,49.44574468
12/2/2013,37.96195652
12/3/2013,29.25052632
12/4/2013,26.76979167
12/5/2013,21.73894737
12/6/2013,22.28863636
12/7/2013,20.77446809
12/8/2013,18.9
12/9/2013,18.80444444
12/10/2013,19.45
12/11/2013,17.04895833
12/12/2013,14.73541667
12/13/2013,13.04583333
12/14/2013,12.5615625
12/15/2013,11.488125
12/16/2013,11.44541667
12/17/2013,13.54086022
12/18/2013,11.37673913
12/19/2013,9.887978723
12/20/2013,10.1259375
12/21/2013,75.36979167
12/22/2013,77.7
12/23/2013,39.91354167
12/24/2013,25.696875
12/25/2013,18.97604167
12/26/2013,14.62395833
12/27/2013,12.878125
12/28/2013,12.05125
12/29/2013,10.5325
12/30/2013,9.6284375
12/31/2013,8.271041667
1/1/2014,8.308020833
1/2/2014,8.587291667
1/3/2014,8.6134375
1/4/2014,7.5053125
1/5/2014,8.0909375
1/6/2014,9.406041667
1/7/2014,9.020425532
1/8/2014,9.625
1/9/2014,102.03875
1/10/2014,289.78125
1/11/2014,334.0729167
1/12/2014,349.03125
1/13/2014,140.4583333
1/14/2014,57.77083333
1/15/2014,35.95
1/16/2014,26.04583333
1/17/2014,22.503125
1/18/2014,19.540625
1/19/2014,18.05729167
1/20/2014,17.571875
1/21/2014,11.82645833
1/22/2014,9.279583333
1/23/2014,11.82083333
1/24/2014,43.50520833
1/25/2014,18.49361702
1/26/2014,11.49875
1/27/2014,10.6384375
1/28/2014,10.45802083
1/29/2014,13.653125
1/30/2014,12.15517241
1/31/2014,11.53333333
2/1/2014,12.29479167
2/2/2014,15.78645833
2/3/2014,19.04166667
2/4/2014,15.065625
2/5/2014,21.98125
2/6/2014,15.85
2/7/2014,12.265625
2/8/2014,9.973020833
2/9/2014,10.80294737
2/10/2014,34.06979167
2/11/2014,39.33229167
2/12/2014,23.4375
2/13/2014,14.11263158
2/14/2014,10.73145833
2/15/2014,9.16875
2/16/2014,8.147291667
2/17/2014,9.973020833
2/18/2014,9.803541667
2/19/2014,10.04114583
2/20/2014,18.48458333
2/21/2014,17.11041667
2/22/2014,8.47
2/23/2014,6.701458333
2/24/2014,7.3509375
2/25/2014,43.914375
2/26/2014,388.59375
2/27/2014,120.1875
2/28/2014,63.99166667
3/1/2014,41.175
3/2/2014,28.02395833
3/3/2014,25.38541667
3/5/2014,210.5833333
3/6/2014,143.5520833
3/7/2014,74.60729167
3/8/2014,49.96770833
3/9/2014,613.5543478
3/10/2014,530.6458333
3/11/2014,479.65625
3/12/2014,325.9583333
3/13/2014,113.1666667
3/14/2014,59.27291667
3/15/2014,64.571875
3/16/2014,104.484375
3/17/2014,137.8885417
3/18/2014,94.93020833
3/19/2014,49.43229167
3/20/2014,35.39375
3/21/2014,32.92291667
3/22/2014,25.096875
3/23/2014,18.015625
3/24/2014,23.04895833
3/25/2014,20.01666667
3/26/2014,18.371875
3/27/2014,23.571875
3/28/2014,21.046875
3/29/2014,22.21145833
3/30/2014,17.97395833
3/31/2014,14.38958333
4/1/2014,12.81770833
4/2/2014,14.93229167
4/3/2014,19.93645833
4/4/2014,19.884375
4/5/2014,13.09770833
4/6/2014,8.589375
4/7/2014,14.45104167
4/8/2014,8.888229167
4/9/2014,8.36
4/10/2014,8.248541667
4/11/2014,10.70979167
4/12/2014,12.48125
4/13/2014,9.771145833
4/14/2014,15.4209375
4/15/2014,34.66666667
4/16/2014,12.82083333
4/17/2014,9.160625
4/18/2014,6.53125
4/19/2014,7.784270833
4/20/2014,6.8553125
4/21/2014,8.365833333
4/22/2014,6.974479167
4/23/2014,6.325833333
4/24/2014,7.268020833
4/25/2014,6.9221875
4/26/2014,6.129166667
4/27/2014,9.111979167
4/28/2014,10.35791667
4/29/2014,8.549895833
4/30/2014,8.408541667
5/1/2014,7.630208333
